"H_vulgarisAEP","Orthogroup","Ortholog","EnsemblID","EnsemblLongName","genBankAnnotation","PANTHER_ID","PANTHER_NAME","PFAM_ID","PFAM_NAME","UniprotHit"
"HVAEP1_T014554.2","OG0004648","ENGASE","ENSG00000167280","endo-beta-N-acetylglucosaminidase",NA,"PTHR13246","ENDO BETA N-ACETYLGLUCOSAMINIDASE","PF03644","Glycosyl hydrolase family 85","ENASE_MOUSE;Cytosolic_endo-beta-N-acetylglucosaminidase"
"HVAEP1_T014555.1","OG0000695","GGH","ENSG00000137563","gamma-glutamyl hydrolase",NA,"PTHR11315","PROTEASE FAMILY C26 GAMMA-GLUTAMYL HYDROLASE","PF07722","Peptidase C26","GGHA_DICDI;Gamma-glutamyl_hydrolase_A"
"HVAEP1_T014557.1",NA,NA,NA,NA,NA,NA,NA,"PF00003","7 transmembrane sweet-taste receptor of 3 GCPR","GRM3_HUMAN;Metabotropic_glutamate_receptor_3"
"HVAEP1_T014559.1",NA,NA,NA,NA,NA,"PTHR12231:SF252","ROUNDABOUT 1, ISOFORM A","PF07534; PF07679; PF13927","TLD; Immunoglobulin I-set domain; Immunoglobulin domain","ROBO3_MOUSE;Roundabout_homolog_3"
"HVAEP1_T014560.1",NA,NA,NA,NA,NA,"PTHR46289:SF3","52 KDA REPRESSOR OF THE INHIBITOR OF THE PROTEIN KINASE-LIKE PROTEIN","PF05699","hAT family C-terminal dimerisation region",NA
"HVAEP1_T014562.1",NA,NA,NA,NA,NA,NA,NA,"PF07679; PF13927","Immunoglobulin I-set domain; Immunoglobulin domain","ROBO3_HUMAN;Roundabout_homolog_3"
"HVAEP1_T014565.2",NA,NA,NA,NA,NA,NA,NA,"PF13927","Immunoglobulin domain","ROBO3_HUMAN;Roundabout_homolog_3"
"HVAEP1_T014569.1","OG0000487","DGKE","ENSG00000153933","diacylglycerol kinase epsilon",NA,"PTHR11255:SF45","DIACYLGLYCEROL KINASE EPSILON","PF00609; PF00130; PF00781","Diacylglycerol kinase accessory domain; Phorbol esters/diacylglycerol binding domain (C1 domain); Diacylglycerol kinase catalytic domain","DGKE_MOUSE;Diacylglycerol_kinase_epsilon"
"HVAEP1_T014571.1",NA,NA,NA,NA,NA,NA,NA,"PF00628","PHD-finger","PHO23_YEAST;Transcriptional_regulatory_protein_PHO23"
"HVAEP1_T014577.1",NA,NA,NA,NA,NA,NA,NA,"PF01522","Polysaccharide deacetylase","CDA7_BOMMO;Chitin_deacetylase_7"
"HVAEP1_T014578.1",NA,NA,NA,NA,NA,NA,NA,"PF01522","Polysaccharide deacetylase","CDA8_BOMMO;Chitin_deacetylase_8"
"HVAEP1_T014579.1",NA,NA,NA,NA,NA,NA,NA,"PF01522","Polysaccharide deacetylase","CDA8_BOMMO;Chitin_deacetylase_8"
"HVAEP1_T014580.1",NA,NA,NA,NA,NA,NA,NA,"PF00141","Peroxidase","APX1_HYDVD;Putative_ascorbate_peroxidase"
"HVAEP1_T014583.1","OG0002466","GCN1","ENSG00000089154","GCN1 activator of EIF2AK4",NA,"PTHR23346:SF7","EIF-2-ALPHA KINASE ACTIVATOR GCN1",NA,NA,"GCN1_HUMAN;eIF-2-alpha_kinase_activator_GCN1"
"HVAEP1_T014584.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GCN1_MOUSE;eIF-2-alpha_kinase_activator_GCN1"
"HVAEP1_T014585.1",NA,NA,NA,NA,NA,NA,NA,"PF00211","Adenylate and Guanylate cyclase catalytic domain","ADCY8_RAT;Adenylate_cyclase_type_8"
"HVAEP1_T014587.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALL2_THAPI;Allergen_Tha_p_2"
"HVAEP1_T014590.1",NA,NA,NA,NA,NA,NA,NA,"PF01522","Polysaccharide deacetylase","CDA7_BOMMO;Chitin_deacetylase_7"
"HVAEP1_T014591.1",NA,NA,NA,NA,NA,NA,NA,"PF01522","Polysaccharide deacetylase","CDA8_BOMMO;Chitin_deacetylase_8"
"HVAEP1_T014593.1",NA,NA,NA,NA,NA,NA,NA,"PF05699","hAT family C-terminal dimerisation region",NA
"HVAEP1_T014594.1","OG0004431","FBF1","ENSG00000188878","Fas binding factor 1",NA,"PTHR33689","FAS-BINDING FACTOR 1",NA,NA,"FBF1_MOUSE;Fas-binding_factor_1"
"HVAEP1_T014597.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLZ9_COCLU;MFS-type_transporter_clz9"
"HVAEP1_T014600.1","OG0005394","NDUFAB1","ENSG00000004779","NADH:ubiquinone oxidoreductase subunit AB1",NA,"PTHR20863:SF64","ACYL CARRIER PROTEIN, MITOCHONDRIAL","PF00550","Phosphopantetheine attachment site","ACPM_DROME;Acyl_carrier_protein,_mitochondrial"
"HVAEP1_T014601.1","OG0000741","DUS1L","ENSG00000169718","dihydrouridine synthase 1 like",NA,"PTHR11082:SF5","TRNA-DIHYDROURIDINE(16/17) SYNTHASE [NAD(P)(+)]-LIKE","PF01207","Dihydrouridine synthase (Dus)","DUS1L_MOUSE;tRNA-dihydrouridine(16/17)_synthase_[NAD(P)(+)]-like"
"HVAEP1_T014603.1",NA,NA,NA,NA,NA,"PTHR47526","ATP-DEPENDENT DNA HELICASE","PF09588","YqaJ-like viral recombinase domain",NA
"HVAEP1_T014605.1",NA,NA,NA,NA,NA,NA,NA,"PF05485","THAP domain","THAP4_MOUSE;Peroxynitrite_isomerase_THAP4"
"HVAEP1_T014606.1",NA,NA,NA,NA,NA,"PTHR10015:SF349","HEAT SHOCK FACTOR PROTEIN","PF00447","HSF-type DNA-binding","HSF_SCHPO;Heat_shock_factor_protein"
"HVAEP1_T014608.2","OG0001142","CLCN7","ENSG00000103249","chloride voltage-gated channel 7",NA,"PTHR11689:SF136","H(+)/CL(-) EXCHANGE TRANSPORTER 7","PF00571; PF00654","CBS domain; Voltage gated chloride channel","CLCN7_MOUSE;H(+)/Cl(-)_exchange_transporter_7"
"HVAEP1_T014610.2","OG0005590","TSR3","ENSG00000007520","TSR3 ribosome maturation factor",NA,"PTHR20426","RIBOSOME BIOGENESIS PROTEIN TSR3 HOMOLOG","PF04068; PF04034","Possible Fer4-like domain in RNase L inhibitor, RLI; Ribosome biogenesis protein, C-terminal","TSR3_HUMAN;18S_rRNA_aminocarboxypropyltransferase"
"HVAEP1_T014611.1","OG0002718","MYOCD, MRTFA, MRTFB","ENSG00000141052, ENSG00000196588, ENSG00000186260","myocardin related transcription factor A, myocardin related transcription factor B, myocardin",NA,"PTHR22793","MYOCARDIN-RELATED TRANSCRIPTION FACTOR-RELATED","PF02755; PF02037","RPEL repeat; SAP domain","MRTFB_XENLA;Myocardin-related_transcription_factor_B"
"HVAEP1_T014614.2",NA,NA,NA,NA,NA,"PTHR19964:SF82","SI:CH211-250N8.1","PF02759; PF00640","RUN domain; Phosphotyrosine interaction domain (PTB/PID)","RUFY4_MOUSE;RUN_and_FYVE_domain-containing_protein_4"
"HVAEP1_T014615.1","OG0004192","PICK1","ENSG00000100151","protein interacting with PRKCA 1",NA,"PTHR12141:SF1","PRKCA-BINDING PROTEIN","PF06456; PF00595","Arfaptin-like domain; PDZ domain","PICK1_RAT;PRKCA-binding_protein"
"HVAEP1_T014616.2","OG0001106","ADAP1, ADAP2","ENSG00000105963, ENSG00000184060","ArfGAP with dual PH domains 1, ArfGAP with dual PH domains 2",NA,"PTHR46021","ARF-GAP WITH DUAL PH DOMAIN-CONTAINING PROTEIN 1-LIKE PROTEIN","PF00169; PF01412","PH domain; Putative GTPase activating protein for Arf","ADAP1_HUMAN;Arf-GAP_with_dual_PH_domain-containing_protein_1"
"HVAEP1_T014617.1",NA,NA,NA,NA,NA,"PTHR46169:SF14","SIN3-HDAC COMPLEX-ASSOCIATED FACTOR,-LIKE-RELATED",NA,NA,"TRA1_MAIZE;Putative_AC_transposase"
"HVAEP1_T014618.1","OG0000057","C10A4.1, K09A11.1, B0545.4","WBGene00015662, WBGene00010704, WBGene00015247","hypothetical protein",NA,"PTHR47611","HAT DIMERISATION DOMAIN, C-TERMINAL","PF05699","hAT family C-terminal dimerisation region","ZBED1_HUMAN;E3_SUMO-protein_ligase_ZBED1"
"HVAEP1_T014619.1","OG0004947","COX11","ENSG00000166260","cytochrome c oxidase copper chaperone COX11",NA,"PTHR21320","CYTOCHROME C OXIDASE ASSEMBLY PROTEIN COX11-RELATED","PF04442","Cytochrome c oxidase assembly protein CtaG/Cox11","COX11_HUMAN;Cytochrome_c_oxidase_assembly_protein_COX11,_mitochondrial"
"HVAEP1_T014620.1",NA,NA,NA,NA,NA,"PTHR24035:SF135","MULTIPLE EPIDERMAL GROWTH FACTOR-LIKE DOMAINS PROTEIN 6","PF00053","Laminin EGF domain",NA
"HVAEP1_T014622.1","OG0001422","phf-31, athp-3","WBGene00008747, WBGene00013799","PHd Finger family, AT Hook plus PHD finger transcription factor",NA,NA,NA,NA,NA,NA
"HVAEP1_T014625.1",NA,NA,NA,NA,NA,"PTHR24035:SF135","MULTIPLE EPIDERMAL GROWTH FACTOR-LIKE DOMAINS PROTEIN 6","PF00053","Laminin EGF domain",NA
"HVAEP1_T014626.1","OG0000044","ced-1","WBGene00000415","Cell death abnormality protein 1",NA,"PTHR24035:SF132","MULTIPLE EGF-LIKE-DOMAINS 11","PF00053","Laminin EGF domain","MEG10_XENTR;Multiple_epidermal_growth_factor-like_domains_protein_10"
"HVAEP1_T014628.1",NA,NA,NA,NA,NA,"PTHR31424:SF3","PROTEIN CBG23806",NA,NA,NA
"HVAEP1_T014629.1","OG0003480","RNASEH2A","ENSG00000104889","ribonuclease H2 subunit A",NA,"PTHR10954","RIBONUCLEASE H2 SUBUNIT A","PF01351","Ribonuclease HII","RNH2A_MOUSE;Ribonuclease_H2_subunit_A"
"HVAEP1_T014630.1",NA,NA,NA,NA,NA,NA,NA,"PF01522","Polysaccharide deacetylase","CDA8_BOMMO;Chitin_deacetylase_8"
"HVAEP1_T014632.1","OG0000498","REXO5","ENSG00000005189","RNA exonuclease 5",NA,"PTHR12801:SF115","LD29573P","PF00929","Exonuclease","REXO1_YEAST;RNA_exonuclease_1"
"HVAEP1_T014633.1",NA,NA,NA,NA,NA,"PTHR32419","GLUTATHIONYL-HYDROQUINONE REDUCTASE","PF13410; PF13409","Glutathione S-transferase, C-terminal domain; Glutathione S-transferase, N-terminal domain","YQJG_ECOLI;Glutathionyl-hydroquinone_reductase_YqjG"
"HVAEP1_T014634.1","OG0007919","-E","FBgn0266172","NA",NA,NA,NA,NA,NA,NA
"HVAEP1_T014635.1","OG0000998","e","FBgn0000527","NA",NA,"PTHR43171","EBONY","PF00501","AMP-binding enzyme","PPSB_BACSU;Plipastatin_synthase_subunit_B"
"HVAEP1_T014636.1","OG0001490","RSL1D1","ENSG00000171490","ribosomal L1 domain containing 1",NA,"PTHR23105:SF31","RIBOSOMAL L1 DOMAIN-CONTAINING PROTEIN 1","PF00687","Ribosomal protein L1p/L10e family","RL1D1_HUMAN;Ribosomal_L1_domain-containing_protein_1"
"HVAEP1_T014637.3",NA,NA,NA,NA,NA,"PTHR11751","ALANINE AMINOTRANSFERASE","PF00155","Aminotransferase class I and II","ALAT2_DANRE;Alanine_aminotransferase_2-like"
"HVAEP1_T014638.1",NA,NA,NA,NA,NA,"PTHR10773:SF12","DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC2",NA,NA,NA
"HVAEP1_T014639.1",NA,NA,NA,NA,NA,NA,NA,"PF00282","Pyridoxal-dependent decarboxylase conserved domain","TYRDC_LACBR;L-tyrosine_decarboxylase"
"HVAEP1_T014640.1",NA,NA,NA,NA,NA,"PTHR45749:SF9","AC-LIKE TRANSPOSASE","PF05699","hAT family C-terminal dimerisation region",NA
"HVAEP1_T014642.1",NA,NA,NA,NA,NA,NA,NA,"PF00282","Pyridoxal-dependent decarboxylase conserved domain","TYRDC_LACBR;L-tyrosine_decarboxylase"
"HVAEP1_T014643.1","OG0006203","ARL2BP","ENSG00000102931","ADP ribosylation factor like GTPase 2 binding protein",NA,"PTHR15487","ADP-RIBOSYLATION FACTOR-LIKE PROTEIN 2-BINDING PROTEIN","PF11527","The ARF-like 2 binding protein BART","AR2BP_PONAB;ADP-ribosylation_factor-like_protein_2-binding_protein"
"HVAEP1_T014644.1","OG0001298","alh-4, alh-5","WBGene00000110, WBGene00000111","Aldehyde dehydrogenase",NA,"PTHR43570","ALDEHYDE DEHYDROGENASE","PF00171","Aldehyde dehydrogenase family","AL3A1_MOUSE;Aldehyde_dehydrogenase,_dimeric_NADP-preferring"
"HVAEP1_T014645.1","OG0001298","alh-4, alh-5","WBGene00000110, WBGene00000111","Aldehyde dehydrogenase",NA,"PTHR43570","ALDEHYDE DEHYDROGENASE","PF00171","Aldehyde dehydrogenase family","AL3A1_MOUSE;Aldehyde_dehydrogenase,_dimeric_NADP-preferring"
"HVAEP1_T014646.3","OG0001236","LUC7L, LUC7L2, FMC1-LUC7L2","ENSG00000007392, ENSG00000146963, ENSG00000269955","LUC7 like, LUC7 like 2, pre-mRNA splicing factor, FMC1-LUC7L2 readthrough",NA,"PTHR12375:SF28","RNA-BINDING PROTEIN LUC7-LIKE 2-RELATED","PF03194","LUC7 N_terminus","LC7L2_MOUSE;Putative_RNA-binding_protein_Luc7-like_2"
"HVAEP1_T014647.3","OG0004010","CFAP52","ENSG00000166596","cilia and flagella associated protein 52",NA,"PTHR13720:SF14","CILIA- AND FLAGELLA-ASSOCIATED PROTEIN 52","PF00400","WD domain, G-beta repeat","CFA52_MOUSE;Cilia-_and_flagella-associated_protein_52"
"HVAEP1_T014648.1",NA,NA,NA,NA,NA,"PTHR12369:SF15","BETA-1,4-N-ACETYLGALACTOSAMINYLTRANSFERASE 3","PF05679","Chondroitin N-acetylgalactosaminyltransferase","B4GN4_MOUSE;N-acetyl-beta-glucosaminyl-glycoprotein_4-beta-N-acetylgalactosaminyltransferase_1"
"HVAEP1_T014649.3","OG0003821","RPTOR","ENSG00000141564","regulatory associated protein of MTOR complex 1",NA,"PTHR12848","REGULATORY-ASSOCIATED PROTEIN OF MTOR","PF00400; PF14538","WD domain, G-beta repeat; Raptor N-terminal CASPase like domain","RPTOR_HUMAN;Regulatory-associated_protein_of_mTOR"
"HVAEP1_T014650.1","OG0001957","HEATR1","ENSG00000119285","HEAT repeat containing 1",NA,"PTHR13457:SF1","HEAT REPEAT-CONTAINING PROTEIN 1","PF08146; PF12397","BP28CT (NUC211) domain; U3 small nucleolar RNA-associated protein 10","HEAT1_HUMAN;HEAT_repeat-containing_protein_1"
"HVAEP1_T014653.1","OG0000810","CYB5R3, CYB5R1, CYB5R2","ENSG00000100243, ENSG00000159348, ENSG00000166394","cytochrome b5 reductase 3, cytochrome b5 reductase 2, cytochrome b5 reductase 1",NA,"PTHR19370:SF108","NADH-CYTOCHROME B5 REDUCTASE 2","PF00970; PF00175","Oxidoreductase FAD-binding domain; Oxidoreductase NAD-binding domain","NB5R3_PIG;NADH-cytochrome_b5_reductase_3_(Fragment)"
"HVAEP1_T014654.1","OG0005291","ECSIT","ENSG00000130159","ECSIT signaling integrator",NA,"PTHR13113","ECSIT  EVOLUTIONARILY CONSERVED SIGNALING INTERMEDIATE IN TOLL PATHWAYS","PF06239; PF14784","Evolutionarily conserved signalling intermediate in Toll pathway; C-terminal domain of the ECSIT protein","ECSIT_XENLA;Evolutionarily_conserved_signaling_intermediate_in_Toll_pathway,_mitochondrial"
"HVAEP1_T014660.1","OG0005281","STUB1","ENSG00000103266","STIP1 homology and U-box containing protein 1",NA,"PTHR46803:SF2","E3 UBIQUITIN-PROTEIN LIGASE CHIP","PF04564; PF18391; PF12895","U-box domain; CHIP N-terminal tetratricopeptide repeat domain; Anaphase-promoting complex, cyclosome, subunit 3","CHIP_MOUSE;E3_ubiquitin-protein_ligase_CHIP"
"HVAEP1_T014661.1","OG0000670","PLA2G6","ENSG00000184381","phospholipase A2 group VI",NA,NA,NA,"PF01734; PF13857","Patatin-like phospholipase; Ankyrin repeats (many copies)","PLPL9_HUMAN;85/88_kDa_calcium-independent_phospholipase_A2"
"HVAEP1_T014663.2","OG0000670","PLA2G6","ENSG00000184381","phospholipase A2 group VI",NA,"PTHR24139:SF34","85/88 KDA CALCIUM-INDEPENDENT PHOSPHOLIPASE A2","PF01734; PF13857","Patatin-like phospholipase; Ankyrin repeats (many copies)","PLPL9_HUMAN;85/88_kDa_calcium-independent_phospholipase_A2"
"HVAEP1_T014664.1","OG0004955","RRS1","ENSG00000179041","ribosome biogenesis regulator 1 homolog",NA,"PTHR17602:SF4","RIBOSOME BIOGENESIS REGULATORY PROTEIN HOMOLOG","PF04939","Ribosome biogenesis regulatory protein (RRS1)","RRS1_MOUSE;Ribosome_biogenesis_regulatory_protein_homolog"
"HVAEP1_T014665.1","OG0000341","PCGF5","ENSG00000180628","polycomb group ring finger 5",NA,"PTHR45893","POLYCOMB GROUP RING FINGER PROTEIN","PF16207; PF00097","RAWUL domain RING finger- and  WD40-associated ubiquitin-like; Zinc finger, C3HC4 type (RING finger)","PCGF3_MOUSE;Polycomb_group_RING_finger_protein_3"
"HVAEP1_T014668.1","OG0005224","BIN3","ENSG00000147439","bridging integrator 3",NA,"PTHR47174","BRIDGING INTEGRATOR 3","PF03114","BAR domain","BIN3_HUMAN;Bridging_integrator_3"
"HVAEP1_T014669.1","OG0005006","MMADHC","ENSG00000168288","metabolism of cobalamin associated D",NA,"PTHR13192:SF3","METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA TYPE D PROTEIN, MITOCHONDRIAL","PF10229","Methylmalonic aciduria and homocystinuria type D protein","MMAD_RAT;Cobalamin_trafficking_protein_CblD"
"HVAEP1_T014671.1","OG0004127","SLC39A11, SLC39A11","ENSG00000282291, ENSG00000133195","solute carrier family 39 member 11",NA,"PTHR11040:SF127","ZINC TRANSPORTER ZIP11","PF02535","ZIP Zinc transporter","S39AB_XENTR;Zinc_transporter_ZIP11"
"HVAEP1_T014672.1","OG0006793","SLC25A17","ENSG00000100372","solute carrier family 25 member 17",NA,"PTHR45939:SF5","PEROXISOMAL MEMBRANE PROTEIN PMP34","PF00153","Mitochondrial carrier protein","PM34_HUMAN;Peroxisomal_membrane_protein_PMP34"
"HVAEP1_T014673.1","OG0005906","CANT1","ENSG00000171302","calcium activated nucleotidase 1",NA,"PTHR13023","APYRASE","PF06079","Apyrase","CANT1_MOUSE;Soluble_calcium-activated_nucleotidase_1"
"HVAEP1_T014674.1","OG0001748","CCNC","ENSG00000112237","cyclin C",NA,"PTHR10026:SF7","CYCLIN-C","PF00134","Cyclin, N-terminal domain","CCNC_XENLA;Cyclin-C"
"HVAEP1_T014675.2","OG0004099","BBS7","ENSG00000138686","Bardet-Biedl syndrome 7",NA,"PTHR16074","BARDET-BIEDL SYNDROME 7 PROTEIN",NA,NA,"BBS7_MOUSE;Bardet-Biedl_syndrome_7_protein_homolog"
"HVAEP1_T014676.1","OG0005137","PLD6","ENSG00000179598","phospholipase D family member 6",NA,"PTHR43856","CARDIOLIPIN HYDROLASE","PF13091","PLD-like domain","PLD6_CHLRE;Mitochondrial_cardiolipin_hydrolase"
"HVAEP1_T014677.1","OG0000007","ZMYM5","ENSG00000132950","zinc finger MYM-type containing 5",NA,"PTHR46289:SF3","52 KDA REPRESSOR OF THE INHIBITOR OF THE PROTEIN KINASE-LIKE PROTEIN",NA,NA,NA
"HVAEP1_T014678.1","OG0001273","IFI30","ENSG00000216490","IFI30 lysosomal thiol reductase",NA,"PTHR13234:SF43","GAMMA-INTERFERON-INDUCIBLE LYSOSOMAL THIOL REDUCTASE","PF03227","Gamma interferon inducible lysosomal thiol reductase (GILT)","GILT_DANRE;Gamma-interferon-inducible_lysosomal_thiol_reductase"
"HVAEP1_T014680.1","OG0001754","WDR45B","ENSG00000141580","WD repeat domain 45B",NA,"PTHR11227:SF18","WD REPEAT DOMAIN PHOSPHOINOSITIDE-INTERACTING PROTEIN 3",NA,NA,"WIPI3_CHICK;WD_repeat_domain_phosphoinositide-interacting_protein_3"
"HVAEP1_T014681.1","OG0005772","PHF5A","ENSG00000100410","PHD finger protein 5A",NA,"PTHR13120:SF5","BNAC03G71910D PROTEIN","PF03660","PHF5-like protein","PHF5A_DROME;PHD_finger-like_domain-containing_protein_5A"
"HVAEP1_T014682.2","OG0000059","gcy-15, gcy-21","WBGene00001541, WBGene00001546","Receptor-type guanylate cyclase gcy-15, Receptor-type guanylate cyclase gcy-21",NA,"PTHR11920:SF488","GUANYLATE CYCLASE","PF01094; PF00211; PF07714","Receptor family ligand binding region; Adenylate and Guanylate cyclase catalytic domain; Protein tyrosine and serine/threonine kinase","ANPRA_RAT;Atrial_natriuretic_peptide_receptor_1"
"HVAEP1_T014683.1","OG0002204","SMG1","ENSG00000157106","SMG1 nonsense mediated mRNA decay associated PI3K related kinase",NA,"PTHR11139:SF111","SERINE/THREONINE-PROTEIN KINASE SMG1","PF00454; PF02260; PF15785","Phosphatidylinositol 3- and 4-kinase; FATC domain; Serine/threonine-protein kinase smg-1","SMG1_MOUSE;Serine/threonine-protein_kinase_SMG1"
"HVAEP1_T014685.1","OG0000139","KCTD2, KCTD5, KCTD17","ENSG00000180901, ENSG00000167977, ENSG00000100379","potassium channel tetramerization domain containing 17, potassium channel tetramerization domain containing 5, potassium channel tetramerization domain containing 2",NA,"PTHR14958:SF29","INSOMNIAC, ISOFORM B","PF02214","BTB/POZ domain","KCTD5_BOVIN;BTB/POZ_domain-containing_protein_KCTD5"
"HVAEP1_T014686.1",NA,NA,NA,NA,NA,"PTHR33395","TRANSCRIPTASE, PUTATIVE-RELATED-RELATED",NA,NA,NA
"HVAEP1_T014688.1","OG0000385","SFMBT1, SFMBT2","ENSG00000163935, ENSG00000198879","Scm like with four mbt domains 2, Scm like with four mbt domains 1",NA,NA,NA,"PF00536; PF02820; PF12140","SAM domain (Sterile alpha motif); mbt repeat; SLED domain","LMBL3_MOUSE;Lethal(3)malignant_brain_tumor-like_protein_3"
"HVAEP1_T014690.1",NA,NA,NA,NA,NA,"PTHR28251","V-TYPE ATPASE ASSEMBLY FACTOR PKR1","PF08636","ER protein Pkr1",NA
"HVAEP1_T014691.2","OG0003872","RADIL, RASIP1","ENSG00000157927, ENSG00000105538","Rap associating with DIL domain, Ras interacting protein 1",NA,"PTHR16027:SF5","SI:CH211-176G6.2-RELATED","PF00788; PF01843","Ras association (RalGDS/AF-6) domain; DIL domain","RADIL_DANRE;Ras-associating_and_dilute_domain-containing_protein"
"HVAEP1_T014692.1","OG0001616","NUDCD3","ENSG00000015676","NudC domain containing 3",NA,"PTHR12356:SF19","NUDC DOMAIN-CONTAINING PROTEIN 3","PF04969; PF14050","CS domain; N-terminal conserved domain of Nudc.","NUDC3_PONAB;NudC_domain-containing_protein_3"
"HVAEP1_T014693.1","OG0004305","RPL10, RPL10L","ENSG00000147403, ENSG00000165496","ribosomal protein L10 like, ribosomal protein L10","U60651.1; ribosomal protein L10","PTHR11726","60S RIBOSOMAL PROTEIN L10","PF00252","Ribosomal protein L16p/L10e","RL10_DROME;60S_ribosomal_protein_L10"
"HVAEP1_T014694.1","OG0000026","CG14478","FBgn0028953","NA",NA,NA,NA,"PF01498","Transposase","TCB1_CAEBR;Transposable_element_Tcb1_transposase"
"HVAEP1_T014696.1","OG0004677","MAD1L1","ENSG00000002822","mitotic arrest deficient 1 like 1",NA,"PTHR23168:SF0","MITOTIC SPINDLE ASSEMBLY CHECKPOINT PROTEIN MAD1","PF05557","Mitotic checkpoint protein","MD1L1_MOUSE;Mitotic_spindle_assembly_checkpoint_protein_MAD1"
"HVAEP1_T014697.1","OG0000985","SRSF8, SRSF2","ENSG00000263465, ENSG00000161547","serine and arginine rich splicing factor 2, serine and arginine rich splicing factor 8",NA,"PTHR23147:SF145","SERINE/ARGININE-RICH SPLICING FACTOR 2","PF00076","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","SRSF2_CHICK;Serine/arginine-rich_splicing_factor_2"
"HVAEP1_T014698.1","OG0004755","RPL18","ENSG00000063177","ribosomal protein L18",NA,"PTHR10934:SF2","60S RIBOSOMAL PROTEIN L18","PF17135","Ribosomal protein 60S L18 and 50S L18e","RL18_TIMBA;60S_ribosomal_protein_L18"
"HVAEP1_T014700.1",NA,NA,NA,NA,NA,"PTHR24060:SF158","METABOTROPIC GLUTAMATE RECEPTOR","PF00003; PF01094","7 transmembrane sweet-taste receptor of 3 GCPR; Receptor family ligand binding region","GRM3_HUMAN;Metabotropic_glutamate_receptor_3"
"HVAEP1_T014701.1","OG0000825","NUBP2","ENSG00000095906","nucleotide binding protein 2",NA,NA,NA,"PF10609","NUBPL iron-transfer P-loop NTPase","NUBP2_NEMVE;Cytosolic_Fe-S_cluster_assembly_factor_NUBP2_homolog"
"HVAEP1_T014702.1","OG0000825","NUBP2","ENSG00000095906","nucleotide binding protein 2",NA,NA,NA,"PF10609","NUBPL iron-transfer P-loop NTPase","NUBP2_NEMVE;Cytosolic_Fe-S_cluster_assembly_factor_NUBP2_homolog"
"HVAEP1_T014703.1","OG0005443","GPN1","ENSG00000198522","GPN-loop GTPase 1",NA,"PTHR21231:SF8","GPN-LOOP GTPASE 1","PF03029","Conserved hypothetical ATP binding protein","GPN1_BOVIN;GPN-loop_GTPase_1"
"HVAEP1_T014704.1","OG0005292","ANAPC10","ENSG00000164162","anaphase promoting complex subunit 10",NA,"PTHR12936","ANAPHASE-PROMOTING COMPLEX 10","PF03256","Anaphase-promoting complex, subunit 10 (APC10)","APC10_HUMAN;Anaphase-promoting_complex_subunit_10"
"HVAEP1_T014708.1","OG0004928","SNU13","ENSG00000100138","small nuclear ribonucleoprotein 13",NA,"PTHR23105:SF158","NHP2-LIKE PROTEIN 1","PF01248","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family","NH2L1_XENTR;NHP2-like_protein_1"
"HVAEP1_T014709.1","OG0006187","C7orf26","ENSG00000146576","chromosome 7 open reading frame 26",NA,"PTHR14540","UNCHARACTERIZED","PF14964","Domain of unknown function (DUF4507)","CG026_DANRE;Uncharacterized_protein_C7orf26_homolog"
"HVAEP1_T014710.1","OG0001885","BPTF","ENSG00000171634","bromodomain PHD finger transcription factor",NA,"PTHR45975","NUCLEOSOME-REMODELING FACTOR SUBUNIT BPTF","PF00628; PF00439; PF02791","PHD-finger; Bromodomain; DDT domain","BPTF_HUMAN;Nucleosome-remodeling_factor_subunit_BPTF"
"HVAEP1_T014712.1","OG0003127","RPL3L, RPL3","ENSG00000140986, ENSG00000100316","ribosomal protein L3, ribosomal protein L3 like",NA,"PTHR11363:SF7","60S RIBOSOMAL PROTEIN L3-LIKE","PF00297","Ribosomal protein L3","RL3_DROME;60S_ribosomal_protein_L3"
"HVAEP1_T014713.1","OG0003798","VPS35L","ENSG00000103544","VPS35 endosomal protein sorting factor like",NA,"PTHR13673","ESOPHAGEAL CANCER ASSOCIATED PROTEIN",NA,NA,"VP35L_DANRE;VPS35_endosomal_protein-sorting_factor-like"
"HVAEP1_T014716.1","OG0005138","JOSD2, JOSD1","ENSG00000161677, ENSG00000100221","Josephin domain containing 1, Josephin domain containing 2",NA,"PTHR13291","JOSEPHIN 1, 2","PF02099","Josephin","JOS2_MOUSE;Josephin-2"
"HVAEP1_T014717.1","OG0002107","ITPK1, ITPK1","ENSG00000274958, ENSG00000100605","inositol-tetrakisphosphate 1-kinase",NA,"PTHR14217:SF1","INOSITOL-TETRAKISPHOSPHATE 1-KINASE","PF05770; PF17927","Inositol 1,3,4-trisphosphate 5/6-kinase ATP-grasp domain; Inositol 1,3,4-trisphosphate 5/6-kinase pre-ATP-grasp domain","ITPK1_BOVIN;Inositol-tetrakisphosphate_1-kinase"
